id;page;arrêt;date;juridiction;lien;id
183010;6;LA COUR     Attendu qu'aux termes des art  790 et 802   Cod  civ   la qualité d'héritier bénéficiaire n'est pas moins indélébile que celle d'héritier pur et simple   qu'en le jugeant ainsi  la Cour d'Orléans   loin do violer les principes du Code civil  sainement entendus   et notamment le susdit art  802   s'y est exactement conformée     Rejette   etc   ; 29 déc. 182; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f6.image;183010
183011;8;LA COUR     Vu les art  194  197  319 et 331  Cod  civ    Attendu que par le contrat de mariage du comte du Cayla père et de la dame Catherine Didier  veuve de Choiseul Meuse  du 15 avril 1821  la demoiselle du Cayla a été reconnue leur fille     Qu elle a été légitimée par le mariage subséquent de ses père et mère     Qu'elle était en possession de cet état en vertu de cette reconnaissance et de cette légitimation   lorsque le comte du Cayla fils a demandé judiciairement qu'il lui fût l'ait défense de prendre désormais  le nom de du Cayla     Que pour établir que la demoiselle du Cayla était née du nommé Morrel et de Catherine Didier  il s'est unique   Jurisprudence de la Cour de cassation   ment fondé sur un acte de naissance du 9 décembre 1801  qui n'a as été signé par Morrel  quoiqu'il n'ait pas été déclaré absent  et qui n'a été revêtu que de la signature du pasteur d'Offenbach     Que la Cour royale de Paris a décidé que d'après cet acte de naissance  la légitimation de la demoiselle du Cayla ne pouvait produire aucun effet  par la raison qu'on ferait descendre à l'état d'enfant adultérin  du chef de la mère   un enfant né antérieurement en légitime mariage     Attendu qu'un acte de naissance est évidemment insuffisant pour établir la légitimité  qui a sa source unique dans la célébration du mariage     Attendu que l'art  319  Cod  civ   suppose un mariage déjà existant et non contesté  puisqu'il règle le mode de la preuve de la filiation des enfans déjà légitimes     Que le comte du Cayla n'a pas prouvé l'existence d'un mariage célébré entre ledit Morrel et Catherine Didier  et ne s'est pas  par conséquent conformé à la disposition de l'art  194   Cod  civ      Qu'il n'a pas même offert de prouver que la demoiselle du Cayla ait jamais eu la possession d'état de fille dudit Morrel     Que celle preuve était cependant à sa charge  puisqu'il attaquait  1°  la reconnaissance  2°  la légitimation par mariage subséquent  et la possession d'état postérieure à celle légitimation     Que  par conséquent   en décidant que la demanderesse en cassation était née en légitime mariage dudit Morrel et do Catherine Didier  sur l'unique fondement dudit acte de naissance   et en annullant ladite légitimation   la Cour royale de Paris a faussement appliqué l'art  319  et commis une contravention formelle aux art  194   197 et 351  Cod  Civ      Casse  etc   ; 8 décembre 1829. ; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f8.image;183011
183012;10;LA COUR     Attendu que la prescription de cinq ans est applicable à toutes actions relatives aux lettres de change et autres effets de commerce (art  189  Cod  civ )  sans nulle distinction des causes pour lesquelles ils auraient été souscrits   Attendu que le titre dont le demandeur poursuivait l'exécution devant le tribunal de commerce  n'étant autre qu'une véritable lettre de change   le jugement a fait à la cause une juste application de la loi    Attendu que la prescription formant une présomption légale et formelle de libération   elle ne pouvait être détruite par de simples inductions qu'on ne justifiait (par aucun aveu  affirmation ou consentement du défendeur)   prouver qu'il eût en aucun temps renoncé à opposer la prescription au demandeur     Rejette  etc   ; 15 décembre 1829. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f10.image;183012
183013;10;LA COUR  Sur le 1er  moyen   Attendu que le jugement contre lequel ce moyen avait été proposé en cause d'appel constate que lesconclusions avaient été prises  les rectifications et adhésions consenties   et les plaidoiries entendues en présence de la demanderesse elle même  son avocat étant assisté de son avoué   qu'une inscription en faux  ou tout au moins une action en désaveu régulièrement formée et accueillie par la justice  auraient pu seules détruire ces vérités de fait  et qu'au surplus l'arrêt attaqué a justement appliqua à l'appel de ce jugement la fin de non recevoir résultant de l'acquiescement que lui avait donné la demanderesse  en requérant  après sa prononciation  la prestation du serment litis décisoire  et en assistant à celte prestation      Rejette   etc   ; 8 décembre 1829.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f10.image;183013
183014;13;LA COUR     Sur le 1er  moyen  tiré de la violation des art  464  754 et 756  Cod  proc  civ       Attendu   1°  que   par son appel du jugement du tribunal civil d'Amiens  du 14 mai 1827  qui avait validé la donation faite par Obissacq père à son fils  la dame Louchet  née du Plaquet  ès noms et qualités qu'elle agissait  s'était constituée demanderesse  et que sa demande tendait à faire déclarer nulle la donation jugée valide  que la garantie demandée en tout évènement par Obissacq fils contre son père  et ses conclusions aux fins de collocation sur le prix de la chose vendue  ne constituaient que des moyens de défense contre l'action et les conclusions de la dame Louchet   qu'une demande même nouvelle   lorsqu'elle ne constitue qu'un moyen de défense   ne doit pas être confondue avec ce que la loi qualifie de demande nouvelle  et qu'elle interdit de former en cause d'appel   que celte distinction entre la demande nouvelle et la défense à l'action principale est posée nettement dans l'article 464   Cod  proc  civ   invoqué par les demandeurs  qu'ainsi la Cour d'Amiens   loin de violer ce même article  s'y est exactement conformée   Attendu 2°  qu'il résulte clairement do l' art  757 du même Code   rapproché des art  754 et 756  que ces derniers articles ne sont que comminatoires   que nulle déchéance du droit de produire   nulle forclusion n'est absolue  tant que l'ordre n'est pas clos et arrêté  tant qu'il y a débat entre ceux qui se disent créanciers     Sur le moyen pris de la violation de l'art  475  Cod  civ   lequel article porte   « que toute action du mineur contre son tuteur  relativement aux faits de la tutelle   se prescrit par dix ans à compter de la majorité     Attendu que la Cour d'Amiens a écarté l'application de cet article   non parcequ'elle en a méconnu le sens et l'étendue  mais parce qu'elle a considéré comme une exception à l'action formée contre lui  le moyen de défense employé par Obissacq fils  qu'ainsi  il s'agit beaucoup moins de savoir si cet article 475 aurait été violé  que de savoir si la Cour d'Amiens aurait violé quelque loi en disant que la garantie demandée contre Obissacq père était l'exception à la demande en annulation do la donation    Et sur la question ainsi posée     Attendu qu'Obissacq père et Obissacq fils ont constamment vécu dans la confiance de la validité et de l'irrévocabilité de la donation du 16 novembre 1811   que c'est avec cette confiance et cette conviction que dans les contrats de vente  objet de l'instance d'ordre dans laquelle ont été soulevées les difficultés soumises à la Cour d'Amiens   Obissacq père stipula   comme donateur et comme simple usufruitier  pour moitié  et le fils comme donataire et propriétaire pour le tout   que le fils  tant que la donation à lui faite n'était point attaquée  n'avait ni intérêt ni droit de demander un recours contre son père et son tuteur  que  d'autre part  le père   garant comme tuteur   ne pouvait ni ne devait provoquer une annullation qui aurait été repoussée par la garantie dont il était ou pouvait être jugé passible   Que  néanmoins  les créanciers du père ont  en vertu du droit qui leur appartenait de se saisir et de faire valoir les actions de leur débiteur  formé une demande eu nullité de la donation de 1811  et qu'en formant cette action  au lieu et place de leur débiteur  ils se sont soumis aux chances et aux évènemens qu'aurait courus leur débiteur lui même  et que la défense contre l'action pouvait comporter  que ce sont  Jurisprudence de la Cour de cassation   cux qui  par leur action  ont fait revivre les faits de la tutelle   qu'en principe  l'exception dure autant que l'action   d'où il résulte qu'en écartant par une fin de non   recevoir  qui prenait sa source dans la nature même de la cause et dans l'objet de la demande   l'application du principe consacré par l'art  475   Cod  civ    la Cour d'Amiens n'a ni violé ni pu violer ce même article   Sur le moyen tiré de la violation des art  932   938   939   942 et 1583   Cod  civ      Attendu que la violation ou la fausse application de l'art  942 pourrait seule   dans l'état auquel il faut ramener la cause  entraîner celle des autres articles qui sont invoqués   que   suivant cet art  942  dont la Cour d'Amiens s'est bornée à faire l'application   le mineur non restituable contre le défaut d'acceptation  a son recours contre son tuteur  s'il y échet    Que  dans la cause  la Cour d'Amiens a jugé qu'iléchéait d'accorder ce recours à Obissacq fils   que le droit de dire et de décider qu'il n'échéait pas  ne saurait appartenir qu'à des juges ayant le pouvoir d'entrer dans l'examen du fond des contestations  et de prononcer sur le bien ou le mal jugé  ce qui est hors des attributions de la Cour de cassation    Sur le dernier moyen motivé sur la violation du même art  942  et sur celle de l'art  2135 du Code civil     Attendu que les demandeurs  en leur qualité de créanciers d'Obissacq père  s'étant subrogés à son lieu et place  ayant introduit une action que leur débiteur n'avait point intentée  action dont l'origine remontait à une époque où Obissacq père était tuteur de son fils  ils se sont soumis à toutes les conséquences qui pouvaient découler de cette action   Que l'exception du recours prévue par l'art  942 avait la même origine que cette action   que puisque l'action s'attachait à un fait de la tutelle   l'exception qui en résultait aussi  devait être admise contre ceux qui avaient formé l'action  avec tous les avantages que la loi a attachés aux faits de la tutelle     Que l'hypothèque légale est un de ces avantages   et qu'en le jugeant ainsi  la Cour d'Amiens  loin de violer les articles invoqués  est entrée dans l'esprit et le sens véritable de ces articles     Rejette  etc   ; 9 décembre 1829.;Ch. des req.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f13.image;183014
183015;15;LA COUR     Attendu qu'aux termes des art  19 et 20   du tit  2 du règlement de 1707  le pourvoi en règlement de juges ne peut être admis après un arrêt confirmatif du jugement qui a rejeté le déclinatoire  que lorsqu'il s'est agi d'une demande en renvoi dans une autre Cour ou dans une autre juridiction d'un autre ressort   Attendu que  dans l'espèce  s'agissant d'une question de compétence entre deux tribunaux du ressort de la Cour royale de Paris  celle Cour était elle même compétente pour prononcer entre ces deux tribunaux   que dès lors c'était par la voie de la cassation qu'on devait se pourvoir contre son arrêt et non par celle du règlement de juges  Rejette  etc   ; 28 décembre 1829. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f15.image;183015
183016;16;LA COUR     Sur le premier moyen     Attendu que l'art  404   Cod  proc  civ   range parmi les matières qu'il déclare devoir être réputées sommaires   la demande en paiement d'arrérages de rente et celles qui requièrent célérité     Attendu que  ni la loi du 20 avril 1810  ni le décret du 6 juillet de la même année  ne contiennent aucune disposition contraire à cet article   Attendu que  dans l'espèce   il s'agissait de statuer sur l'opposition du sieur Bonnault au commandement à lui fait par la dame de La Faye  à fin de paiement d'une année d'arrérages de rente   dont elle prétendait que le sieur Bonnault était débiteur envers elle   Attendu que la novation opposée par le sieur Bonnault était un moyen d'exception qui ne pouvait changer la nature de la demande   Qu'ainsi  l'affaire était sommaire  tant sous le rapport de la demande de la dame de La Paye  que sous celui de l'opposition du sieur Bonnault  laquelle  par son objet  requérait célérité  et que dès lors elle a pu être jugée par la chambre des appels en matière correctionnelle   Sur le deuxième moyeu     Attendu que la Cour royale de Bourges a jugé d'après les faits et la correspondance  que l'émission de la lettre de change qui a donné lieu au procès a été le résultat d'un arrangement particulier entre le sieur Guébin et la dame de La Paye   et que celte émission étant étrangère au sieur Bonnault   celui ci ne pouvait être responsable    D'où il résulte que  sous aucun rapport  l'arrêt attaqué n'est contrevenu à la loi      Rejette  etc   ; 30 novembre 1829.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f16.image;183016
183017;18;LA COUR    Attendu que par l'arrêt dont il s'agit  la Cour royale a jugé que les baux à convenant qui régissaient les conventions des parties   jusques aux actes de 1er  décembre 1749 et 20 septembre 1761  n'ont pas été convertis en afféage par ces actes   Qu'elle a pu sans contrevenir expressément à aucune loi le juger ainsi  en interprétant les différentes clauses de ces actes   et que par une suite en ordonnant le paiement et le service des rentes en question comme convenancières  loin de violer la loi du 17 juillet 1793  elle n'a fait qu'une juste application de celles des 6 août 1791 et 9 brumaire an 6 relatives aux domaines congéables    Rejette  etc   ; 25 novembre 1829.;Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f18.image;183017
183018;18;LA COUR    Sur le 1er  moyen     Considérant que les dispositions des lois invoquées qui interdisent aux émigrés toutes réclamations contre les partages et autres actes passés entre l'État et les particuliers  ne s'étendent pas aux droits intacts et qui n'ont pas été réglés par ces actes   Considérant que  dans l'espèce   il a été reconnu par les arrêts de la Cour de Rennes des 27 juillet 1819 et 8 mai 1826  qui ne sont pas attaqués  que le partage du 17 brumaire an 7 présentait plu' sieurs omissions     Que les arrêts des 11 mai 1825 et 21 août 1828  déférés à la Cour  ont également reconnu qu'il y avait omission à l'égard de la moitié du prix de la terre des Escures et de la métairie des Landelles   qu'en effet  ces deux domaines ayant été considérés et partagés par l'acte dont il s'agit comme des acquêts de communauté   bien qu'ils eussent été payés des deniers propres à la dame Tranchant et immobilisés par son contrat de mariage  il en résultait que la succession de celle ci avait à exercer une reprise pour la moitié de ce prix  que cette reprise formait une créance omise dans le partage de l'an 7   et a pu être comprise dans un partage supplétif fait par la Cour royale sans pour cela porter atteinte au premier    Sur le 2e  moyen    le 3e moyen     Sur le 4'  moyen  consistant dans l'incompétence  l'excès de pouvoir et la violation des lois qui défendent aux tribunaux de connaître des actes administratifs     Considérant qu'aucune contestation ne s'est élevée devant la Cour royale sur l'interprétation de l'acte administratif du 17 brumaire an 7   qu'il ne s'est agi que de savoir s'il contenait des omissions réparables  question qui était évidemment de la compétence des tribunaux     Rejette  etc   ; 25 novembre 1829. ; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f18.image;183018
183019;19;    Attendu que la demande en paiement des arrérages de la rente obituaire de 5 fr  70 c  dont s'agit en la cause  avait été formée par la fabrique de Boussois contre Nicolas Daynez  avec cette énonciation   que la rente était due par ledit Daynez sur sa maison et comme représentant Chevin   que Daynez   pour moyen de défense  dénia que lui et ses auteurs eussent jamais dû celte rente   qu'il dénia également l'existence de cette rente en elle même   que la défense  comme la demande  telle qu'elle avait été formée  conduisaient à la nécessité de vérifier et de juger s'il y avait titre suffisant pour établir la rente  et si elle était établie sur une maison possédée par le défendeur  provenant du nommé Chevin   Que le tribunal d'Avesnes  en jugeant que celte action n'était pas une demande pure personnelle et mobilière   qu'elle constituait une action mixte qui n'était pas de la compétence de la justice de paix   a déterminé le vrai caractère de cette action et n'est point contrevenu conséquemment à l'art  9   tit  3 de la loi du 24 août 1790   à l'art  1er  de celle du 26 octobre suivant  ni à l'art  2  Cod  proc civ      Rejette  etc   ; 8 décembre 1829.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5745965s/f19.image;183019
