;page;arrêt;date;juridiction
1;10;  Considérant qu'il résulte de l'arrêt attaqué que les circonstances dans lesquelles le jeu a eu lieu  les artifices qui ont 21  jurisprudence de la Cour de cassation   22  fait naître  et les excitations qui ont entretenu cbez les plaignans des espérances chimériques  placent le délit dans la classe des fraudes punies par l'art  405  Cod  pén    Que  d'un autre côté  lés manoeuvres frauduleuses employées par les prévenus  après avoir amené au préjudice des mêmes plaignans une perte au jeu  qui n'était que le fruit de la tromperie  ont eu pour conséquences de déterminer les perdans à régler cette perte  cl à s'engager à payer dans un temps rapproché le montant de ce règlement  que s'ils ne se sont pas acquittés de leurs promesses  c'est par des circonstances indépendantes de la volonté des demandeurs en cassation   que dès lors la cause présente tous les caractères de la tentative d'escroquerie telle qu'elle est définie par l'art  405  Cod  pén   Combiné avec les art  2 et 3 du même Code  lesquels sont l'expression du droit commun et la loi de la matière    Par ces motifs  rejette  etc   ; 20 janv. 1846. ; Ch. réun. 
3;16;LA COUR     Attendu 1° que la Cour royale a reconnu et déclaré constant  par suite d'une appréciation des preuves  documens  faits et circonstances de la cause  que la disposition de la demoiselle Chambon  religieuse de la communauté des Ursulines à Orléans  à trois autres religieuses de la même communauté  ne contient aucune fraude à la loi  et qu'aucuue des légataires instituées ne peut être considérée comme personne interposée   Que cette déclaration de la Cour royale est intervenue  non sur la question de savoir si les clauses du testament attaqué renfermaient une substitution prohibée  cas auquel elle aurait pu être soumise à la révision de la Cour de cassation  mais dans un débat où il s'agissait seulement de rechercher si la disposition écrite dans ce testament  était destinée à gratifier  à l'aide de personnes interposées  un établissement religieux incapable de recevoir à litre universel   Que  par suite  une pareille déclaration a été rendue dans les limites des attributions souveraines de la Cour royale  et ne peut être devant la Cour de cassation l'objet d'aucun contrôle    Attendu 2° que si l'art  4 de la loi du 24 mai 1825 n'accorde aux établissemens religieux de femmes la faculté d'accepter les biens meubles et immeubles qui leur seraient donnés  soit par acte entre vifs  soit par testament  qu'à la condition que ces libéralités leur seraient faites à titre particulier  et  s'il s'ensuit alors contre ces établissemens une prohibition absolue de recevoir des dispositions universelles ou à titre universel  celte prohibition ne saurait  à moins d'une disposition formelle  être étendue aux religieuses faisant partie de ces établissemens  dans le cas où elles sont personnellement et directement gratifiées par une autre religieuse   Que l'art  5 de la même loi qui a pour objet de régler le sort des dispositions à titre gratuit que les religieuses d'une même communauté se feraient entre elles ou pourraient faire à la communauté  se borne à en déterminer l'étendue et à fixer la quotité qu'elles ne  doivent pas excéder    Que la prohibition écrite dans l'article précédent pour le cas où la libéralité faite par une religieuse a pour objet de gratifier personnellement une ou plusieurs autres religieuses de la même communauté  étant la seule opposée à ces sortes de dispositions  il s'ensuit que la capacité de la religieuse pour recevoir ne reçoit d'autres modifications et n'est soumise à d'autres conditions que celles qui se trouvent exprimées dans ledit article et qui se rattachent uniquement à la quotité ou au taux de la libéralité    Qu'ainsi  elles ont capacité pour recevoir d'une autre religieuse des dispositions universelles ou à titre universel  pourvu que ces dispositions n'excèdent pas le quart des biens de la disposante  ou ne dépassent pas une valeur de 10 000 fr     Que  s'il y a excès dans les dispositions ainsi faites  elles doivent  aux termes du droit commun  être réduites à la quotité ou au taux rendu disponible par l'art  5 de la loi précitée     Que  par suite  l'arrêt attaqué  en décidant 1° que le legs universel fait par la demoiselle Chambon en faveur de trois religieuses de la communauté des Ursulines d'Orléans  à laquelle elle appartenait elle même  ne contenait aucune fraude à la loi  et n'avait pas pour objet de gratifier  à l'aide de personnes interposées  la communauté des Ursulines  2° que les religieuses instituées avaient capacité pour recevoir ce legs  et en ordonnant qu'en cas d'excès  il serait réduit à la quotité disponible déterminée spécialement par la loi du 24 mai 1825  ledit arrêt  loin de violer les dispositions de la loi  en a fait  au contraire  une juste application   Rejette  etc   ; 2 déc. 1845. ; Ch. req. 
4;16;   En ce qui touche la partie de la prévention dirigée contre la dame Houdbine  au sujet de l'ancien mur qui menace ruine    Attendu que la loi des 16 24 août 1790  tit  1  art  3  confie à la vigilance et à l'autorité des corps municipaux la démolition ou la réparation des bâtimens menaçant ruine  et que l'art  46 de la loi des 19 22 juill  1791 donne à l'autorité municipale le droit de statuer  par voie administrative  sur les objets indiqués par les dispositions précitées de la loi des 16 24 août 1790     Attendu que le jugement attaqué constate que le mur de clôture du jardin de la veuve Houdbine menace ruine   et que dès lors ledit jugement  au lieu de statuer sur la démolition aurait dû renvoyer à l'autorité administrative  seule compétente pour prendre des dispositions à cet égard   et qu'en ne le faisant  le tribunal de police a commis un excès de pouvoir  violé les règles de sa compétence  et contrevenu aux lois précitées      Casse  etc  ; 14 août 1845.;Ch. crim. 
6;18;LA COUR    Sur lé premier moyen   Attendu  endroit  que si les eaux pluviales qui coulent sur la voie publique  n'étant à personne  ne sont pas susceptibles d'une possession exclusive  le propriétaire riverain peut néanmoins les prendre à leur passage  qu'il dépend de lui d'en faire l'usage qu'il lui plaît  et par suite de les concéder à son voisin  afin que celui ci en use après les avoir reçues de lui    Attendu  dans l'espèce  que l'arrêt attaqué   après avoir constaté en fait qu'une rase (ou  fossé)  bornant au midi le champ Grand appartenant au demandeur en cassation  conduit à traversée champ jusqu'au pré contigu du défendeur  les eaux pluviales du chemin de Langeae à Chiliaguet  a déclaré qu'il résultait soit des clauses de l'acte de partage du 12 déc  1807  soit des faits de la causé  que cette rase n'avait élé pratiquée par Jacques Gros  auteur commun dès parties  et propriétaire des héritages divisés  que pour les faire servir exclusivement à l'irrigation de ce pré  et que cet état de choses constituait une servitude de prise d'eau établie par la destination du père de famille  Attendu qu'en le décidant ainsi  et  par suite  en maintenant le défendeur en cassation dans le droit exclusif de prendre et de se servir des eaux dont il s'agit  l'arrêt attaqué n'a pas violé les art  714 et 1128  C civ   et a fait  au contraire  une juste application des art  692  693 et 694  même Code   Rejette  etc   ; 21 juill. 1845.;Ch. civ.
7;19;   Vu les art 6 et 11 de la loi du 18 juill 1828  Attendu que la société qui publie le  journal l'Emancipation à Toulouse  ayant voulu  en 1844  modifier les  clauses de l'acte qui la constitue à passe à cet effet un acte notarié sous la date du 22 juin  même année  et qu'en conséquence de cet acte  et par suite de l'art de la loi précitée du 18 juill 1828 une déclaration a été faite au secrétariat de la préfecture le 5 août 1844   Àttendu que  le 22 sept  1844  le préfet a attaqué celte déclaration devant le tribunal de première instance de Toulouse  aux termes de l'art  10 de ladite loi  et que ce tribunal  par jugement du 10 déc  1844  a prononcé la nullité de ladite déclaration  a prescrit que certaines dispositions  du nouvel acte de société seraient modifiées dans un sens indiqué  qu'il serait justifié desdites modifications dans la huitaine  que  faute de ce faire  le journal cesserait de paraître à l'expiration de ce délai  et a ordonné l'exécution dudit jugement par provision  nonobstant appel ou opposition   Attendu que ce jugement a  été signifié à Paya  gérant dudit journal  le 24 déc  |1844 qu'à partir de cette signification il  était exécutoire nonobstant appel en vertu de ses dispositions et par argument de l'art  10 de la loi 18 juill  1828  qu'ainsi la nullité de la déclaration faite par Paya étant prononcée  la publication qui a eu lieu le lendemain 25 décembre d'un numéro du journal  a été effectuée sans déclaration préalable  et a été dès lors  passible de la peine  de l'art 6 de la loi précitée  Attendu que le demandeur en cassation ne peut se prévaloir du délai de huitaine accordé par le jugement du 10 déc  1834  que ce délai  concédé par le juge en vertu de l'art  122  Cod  proc  civ   a couru d'après l'art  123 du même  Code  du jour du jugement contradictoire rendu contre Paya et était des lors axpiré avant signification faite le 24 déc 1844  Attendu que le délai de quinze jours acçordé par l'art  6 de la loi du 18 juill  1828 au gérant du journal pour faire la déclaration des mutations qui peuvent survenir  soit dans le titre du journal ou dans les conditions de sa périodicité  soit parmi les propriétaires ou leS gçrans responsables  ne s'applique pas au cas où il s'agirait de renouveler une déclaration déjà faite' et légalement annulée   que  dans ces cas  des le moment où le jugement qui a prononcé la nullité est exécutoire  la partie condamnée doit y obtempérer et la déclaration prescrite doit être faite que le fait de publier le  journal sans avoir renouvelé la déclaration annulée  ne saurait être assimilé qu'au fait  de publier un journal sans aucune déclaration préalable   Attendu  dès lors  que la peine appliquée aux faits constatés par l'arrêt attaqué à été conforme à là loi  et que  d'ail leurs ledit arrêt est régulier dans sa forme     Rejette etc   ; 11 juill. 1845. ; Ch. crim
8;19;LA COUR    Attendu que par le jugement du 19 déc   1839  Dessaigne n'a été déclaré propriétaire exclusif de la haie litigieuse que sauf le  rapport d'un titre par les consorts Jourlâin  ou la preuve qu'ils ont été autorisés à faire de leur possession paisible et publique de laditehaie pendant trente ans ayant la demande    Attendu que  lé jugement confirmé par l'arrêt attaqué  qui en adopte les motifs  décïare formellement que l'ensemble et la combinaison des dépositions rapportées par les consorts Jourlain étabussent suffisamment une possession trentenaire  paisible et publique de la haie contentieuse par eux ou par leur auteur  et que lesdits consorts' Jourlain ont satisfait à l'interlocutoire ordonné par le jugement du 19 déc  1839   qu'il suit de là qu'en confirmant le ju(1)  ju(1) présomption ancienne dont se sont appuyés ici les juges du fond  est en effet attestée par Loisel  en ses InsL coutumières  liv  2 lit  3  des Servitudes  Il y est dit  règle 8   « La haie vive  buisson  terme et borne   estans entre pré et terre  vigne  ou bois  sont  réputés estre du  pré  et non de la terre  vigne  ou bois » V  l'édition récente de MM  Dupin et La boulaye  tom 1  pag  292   39  Jurisprudence de la Cour de cassation   40  gement qui avait déclaré Dessaigne mal fondé dans sa demande  la Cour royale a usé du droit qu'elle avait d'apprécier les enquête et contre enquête et les faits de la cause  et  loin d'avoir violé les art  2229 et 2262  Cod  civ   en a fait une juste application    Rejette  etc   ; 7 juill. 1845.;Ch. civ.
9;20;    Vu les art  745  673  675 et 734  ancien Cod  proc  Attendu que le Code de procédure a établi  en matière de saisie immobilière  un mode spécial de procédure qui «écarte l'application des art  68 et 456  même Code  relatifs à la signification des exploits et actes d'appel     Attendu qu'en effet les art  673 et 675  ancien Code  au titre de la saisie immobilière  prescrivent  le premier  qu'il soit fait élection de domicile dans le commandement  et le second  que le domicile élu dans le procès verbal de saisie soit de droit celui de l'avoué que le saisissant est tenu de constituer par ce procès verbal     Attendu que de la combinaison de ces articles avec l'art  734 dudit Code  qui n'accorde que quinzaine du jour de la signification à avoué  pour relever appel du jugement qui a statué sur des nullités  appel qui  en outre   doit être notifié au greffier cl visé par lui  il résulte évidemment que  pour une telle procédure  on ne peut suivre les règles générales  et  qu'on doit admettre que l'appel est valablement signifié au domicile de l'avoué du saisissant qui  comme l'exprime l'art  675 précité est  de droit  réputé le domicile élu    Attendu d'ailleurs que l'art  745  même Code  dispose que les articles relatifs aux nullités  délais et formalités de l'appel sont communs à la poursuite de folle enchère   Attendu  dès lors  que l'arrêt attaqué  en annulant l'acte d'appel signifié par les demandeurs au domicile de l'a   voué du poursuivant  a faussement appliqué l'art  456 et violé les dispositions des art  673  675 734  et 745  ancien Cod  proc    Casse  etc  ; 3 nov. 1845. ; Ch. civ. 
10;20;  Attendu que  d'après l'art  2  Cod  pén   la tentative tentative crime qui réunit les caractères déterminés en cet article est considérée comme le crime même  Attendu qu'aux termes de l'art  148 du même Code  celui qui aura fait usage des actes faux doit être puni de la même peine que les auteurs mêmes du faux    Attendu  dès lors  que l'art  165  Cod  pén   lorsqu'il dispose que tout faussaire condamné soit aux travaux forcés ' soit à la réclusion  subira l'exposition publique  doit s'appliquer nécessairement à ceux qui auront tenté de faire usage d'une pièce fausse  puisque  d'après les dispositions ci dessus rappelées  la tentative et l'usage sont assimilés à la consommation même du fait de faux     Et attendu  dès lors  que l'arrêt attaqué  n'a fait que se conformer à la loi  lorsqu'il a décidé que Jamerin condamné aux travaux forcés pour avoir tenté de faire usage d'un billet faux  sachant qu'il était faux  subirait l'exposition publique   Rejette  etc    ; 7 août 1845. ; Ch. crim. 
11;20;   VU l'art  1351  Cod  civ   Attendu que l'arrêt attaqué a condamné les demandeurs en cassation au délaissement des biens acquis par leurs auteurs  et à la restitution des fruits  conformément à un précédent arrêt du  3 avril 1832  rendu sur l'appel d'un jugement du 28 avril 1831   et qu'il a écarté la prescription invoquée par lesdits demandeurs  par le motif que Gavarret Rouaix  leur père  aurait figuré dans le jugement de 1831  lequel aurait acquis l'autorité de la chose jugée   Attendu qu'aux termes de l'art  1351  Cod  civ   pour qu'il y ait autorité de chose jugée  il faut que la demande soit entre les mêmes parties  formée par elles et contre elles en la même qualité   d'où il suit que l'autorité de la chose jugée n'aurait pu légalement être tirée contre les héritiers Gavarret Ronaix du jugement de 1831  que si eux  ou leur auteur y avaient été réellement parties   Attendu que le dispositif dudit jugement de 1831 contient  il est vrai  des condamnations contre Gavarret Rouaix  dont il n'indique ni les prénoms  ni la profession  ni la demeuré  mais que d'une part  le père des demandeurs  auquel l'arrêt attaqué fait application de ce dispositif  était décédé dès le 1er juill  1808  que  d'autre part  ni Gavarret Rouaix père  ni ses enfans ne figurent dans les qualités de ce jugement   qu'il en résulte  au contraire  que ni les uns ni les autres n'ont été assignés dans l'instance sur laquelle il a été rendu   Attendu qu'on objecte vainement qu'il n'aurait été donné connaissance à la Cour royale que des motifs et du dispositif du jugement de 1831  qu'une telle objection n'est aucunement admissible   que le devoir dés magistrats  lorsqu'ils déclarent qu'un jugement a acquis l'autorité de la chose jugée est de le vérifier en son entieret dans chacun de ses élémens  Attendu que les héritiers Gavarret Rouaix étaient complètement étrangers à l'arrêt du 3 avril 1832  dont l'arrêt attaqué leur a appliqué les dispositions comme souveraines à leur égard   Qu'il suit de ce qui précède qu'en attribuant au jugement dù 28 avril 1831 et à l'arrêt du 3 avril 1832  l'autorité de la chose jugée en ce qui concernait les demandeurs en cassation  la Cour royale de Montpellier a formellement violé l'art  1351  Cod  civ    Casse  etc  ; 4 août 1845.;Ch. civ.
12;22;LA COUR   Attendu que les travaux d'ensemencement prescrits et exécutés sur les dunes ou lettes faisant partie du territoire de la commune de Sainte Eulalie  l'ont été conformément aux lois de la  matière par le préfet du département agissant au nom du pouvoir exécutif et en vue de l'intérêt général   que de semblables travaux ne peuvent avoir pour effet d'attribuer à l'Etat aucun droit de propriété ou de possession sur les terrains qui appartiennent aux communes ou à des particuliers  qu'ainsi  en aucun cas  leur exécution ne saurait être considérée comme un trouble autorisant l'action en complainte   qu'en le décidant ainsi  et en infirmant  par suite  pour cause d'incompétence  la sentence rendue au possessoire par le juge de paix  le jugement attaqué  loin de violer les dispositions de la loi  en a fait une juste application     Rejette  etc   ; 29 mai 1845. ; Ch. req.
