id;page;arrêt;date;juridiction;lien;id
185500;5;  LA COUR  Attendu que l'autorisation donnée par la loi à la femme mariée sous le régime dotal de donner la totalité de sa dot pour l'établissement d'un enfant né du mariage  implique nécessairement la facullé pour elle de ne donner à son enfant les biens dotaux que jusqu'à concurrence d'une valeur déterminée    Que si la condition apposée à celle donation et d'après laquelle le surplus du prix du bien dotal  en cas d'aliénation par le donataire  devra revenir à la mère donatrice  peut engendrer  ; 8 janv. 1855. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f5.image;185500
185501;6;LA COUR    Attendu que si  au cas d'acceptation de la communauté  la femme  aux  termes de l'article 1470  Cod  Nap   prélèye de même que le mari et avant ce  dernier  sur la masse des biens  ses reprises et indemnités  la femme renonçante  suivant le texte de l'art  1493  a le droit de reprendre les mêmes objets  sur les mêmes biens     Attendu qu'il résulte de la combinaison de ces articles que c'est à titré non pas de créancière  mais de propriétaire  que la femme qui renonce à la communauté  comme la femme qui l'accepte  exerce ses reprises sur les biens provenant de la communauté   qu'ainsi   lorsqu'il lui est attribué  pour la remplir de ses reprises des biens immeubles acquis  pendant la communauté   celle attribution n'opère pas une mutation de ces biens passible du droit proportionnel de 5 fr  50 c  pour 100 en matière devente  Qu'il suit de là  qu'en refusant d'appliquer ce droit aux actes dés 19 janvier et 21 mars 1852  par lesquels  pour couvrir la femme Robin  renonçante à la communauté d'entr'elle et son mari  de ses reprises  la totalité des immeubles acquis pendant cette conimunauté lui ont été abandonnés  le jugement attaqué n'a pas violé les art  4  15  n  6  69  § 7  n  1  de la loi du 22  frimaire an 7  et l'art  52 de la loi du 28 avril 1816    Rejette  etc   ; 2 janv. 1855.; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f6.image;185501
185502;7;LA COUR     Vu les art  397 et 401  Cod  proc   et l'art  184  Cod  comm      Attendu qu'aux termes de l'art  401  Cod  proc   la péremption laisse subsister l'âction   qu'aux termes du même article combiné avec l'art  397  là procédure éteinte par la péremption est celle  qui a constitué l'instance  c'est à dire que la péremption atteint tous les actes faits pour saisir le juge et procéder devant lui  depuis  et y compris l'acte introductif de l'instance  mais que ses effets ne sauraient remonter  au delà de cet acte     Attendu que le protêt est un acte de sommation et de mise en demeure adressé aux divers engagés  que le protêt ne les appelle pas devant le juge  qu'il est extrajudiciaire  étranger à la citation introductive d'instance  et qu'il ne saurait dès lors être atteint par la péremption qui s'applique seulement aux actes constituant là procédure de l'instance proprement dite    Attendu qu'aux termes de l'art  184  Cod  comm   l'intérêt de la lettre de change est dû à partir du protêt     Attendu que  d'après l'art  189  Cod  comm   toutes actions relatives aux lettres de change sont prescrites par cinq ans à partir du jour du protêt  mais  que  d'après l'art  2223  Cod  Nap   les jugés ne peuvent suppléer d'office le moyen résultant de la prescription    Attendu que la prescription quinquennale établie par l'art  189 3 n'est qu'une présomption de libération  puisque celui qui l'oppose peut toujours être tenu d'affirmer qu'il est libéré   D'où il suit que celle présomption fait défaut et que la prescription qui en dérivé ne peut profiler à celui qui  loin de se prétendre libéré  se reconnaît débiteur en offrant de payer le montant de la lettre de change     Et attendu  en fait  qu'une  lettre de change de 300 fr   souscrite par Eugène Cuniac au profit de Hérisson  avait été protestée fable de paiement à la requête de celui ci  le 1er mai 1844    D'où il suit que depuis cette daté le principal de ladite lettre de change était productif d'intérêts     Attendu que la péremption' prononcée par un premier jugement du 15 mars 1853 de l'instance qui avait suivi le protêt avait sans doute lait  15  Jurisprudence de la Cour de cassation   16  tomber tous les actes de ladite instance  mais qu'elle avait laissé subsister le protêt   que dès lors  la péremption n'avait pu mettre obstacle au cours des intérêts     Attendu que Cuniac ne se prévalait aucunement quant auxdits intérêts de la prescription particulière que règle l'art  2277  Cod  Nap   et que les juges ne pouvaient d'office suppléer un pareil moyen  qui n'aurait pu' s'appliquer du reste qu'aux intérêts antérieurs de cinq ans à la   demande     Attendu que  quant à la prescription de l'art  189  Cod  comm   elle ne pouvait profiter à Cuniac puisque  bien loin d'affirmer sa libération  il offait de payer le capital de la lettre de change et reconnaissait ainsi n'être pas libéré   Attendu que pour se refuser à joindre la condamnation des intérêts à celle du principal  le jugement attaqué s'est uniquement fondé sur le moyen pris de la péremption  et sur l'argumentation empruntée à l'art  189  Cod  comm      Mais  de ce qui précède  il résulte que ledit jugement a ainsi fait une fausse application tant de l'art  401  Cod  proc  que dudit art  189  Cod  comm   et par suite expressément violé l'art  184  même Code    Casse  etc   ; 2 janvier 1855.;Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f7.image;185502
185503;8;     Statuant d'abord sur la requête de Lanvin     Attendu que les créanciers ne peuvent exercer les droits et actions de leur débiteur que dans les cas où celui ci s'abstient ou néglige de les exercer lui même     D'où il suit que  comme pourvoi en cassation  la requête du créancier d'un débiteur qui a exercé régulièrement celte voie de recours  n'est pas recevable  Attendu que  comme demande en intervention  la requête du créancier ne saurait être admise devant la Cour de cassation qu'à la condition de se justifier par des circonstances exceptionnelles et par des considérations d'intérêt  qui  dans l'espèce  n'existent  ; 10 janv. 1855.;Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f8.image;185503
185506;13;LA COUR   Attendu  en droit  qu'il résulte des dispositions de l'art  711  Cod  proc  que les avoués ne peuvent enchérir pour des personnes notoirement insolvables  sous peine de la nullité de l'adjudication ou de la surenchère  et de dommagesintérêts   Attendu que ces deux pénalités sont distinctes  et qu'il n'est pas nécessaire  pour que l'avoué qui a enchéri pour une personne notoirement insolvable  puisse être condamné à des dommages intérêts  que la nullité de l'adjudication ait été préalablement prononcée    Attendu  en fait  que l'arrêt attaqué constate que  lorsque l'avoué Charpentier s'était rendu adjudicataire  par Bouet  de l'immeuble litigieux  ledit Bouet était notoirement insolvable et ne faisait que prêter son nom à deux clients de Charpentier  précédents acquéreurs de l'immeuble  et poursuivis en folle enchère     Que cette simulation  préparée par Charpentier  engageait d'autant plus sa responsabilité que l'avoué ne peut pas plus enchérir pour l'adjudicataire évincé pour folle enchère que pour lés tiers qui lui servent de prêtenom   Attendu que  dans ces circonstances  l'arrêt attaqué  loin d'avoir violé les art  711  Cod  proc  et 1382  Cod  Nap   en a fait une juste application  Rejette  etc   ; 17 janv. 1854. ; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f13.image;185506
185507;14;LA COUR    Sur le premier moyen tiré de la fausse application de l'art  2102 et de la violation de l'art  2002  C  Nap     Attendu que le jugement attaqué constaté que Montembault et les enfants Pigault avaient chargé l'avoué Ledonné Girardière de produire pour eux dans l'ordre ouvert sur leur débiteur commun par deux mandats séparés et donnés dans des intérêts distincts'    Qu'en refusant par suite à Ledonné Girardière le bénéfice de la solidarité  base unique de son action  pour le paiement d'une signification par lui faite collectivement  tant à la requête de Montembault que des héritiers Pigault dans le cours de la procédure d'ordre  et en décidant que le cont de cette signification devait être supporté par moitié entre les deux mandataires  le tribunal de Domfront n'a ni violé l'art  2002  ni faussement appliqué l'art  1202  Cod  Nap   Sur lé deuxième moyen fondé sur la violation de l'art  1038  Cod  procéd   et des principes du mandat ad lilem     Attendu que le mandat ad litem de l'avoué prend fin lorsque l'instance pour laquelle il à été donné est terminée  que l'avoué n'est pas chargé de plein droit de l'exécution des jugements par lui obtenus    Que l'art  1038  Cod  procéd   lui donne seulement le droit d'occuper  sans nouveaux pouvoirs  sur l'exécution de ces jugements  c'est à dire sur les incidents litigieux auxquels celte exécution peut donner lieu    Que  dans l'espèce  il s'agissait d'une instance d'ordre terminée par un jugement ayant acquis  a l'égard de Montembault  l'autorité de la chose jugée  au moyen de la chose jugée  qu'en refusant d'allouer  en outre  à LedonnéGirardière les frais d'une signification à la partie faite  exclusivement en vue de l'exécution de ce jugement  le tribunal de Domfront n'a violé aucune loi     Rejette  etc   ; 22 nov. 1854. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f14.image;185507
185509;16;    Sur la première branche du moyen   Attendu que l'arrêt attaqué n'a pas refusé au demandeur en cassation les droits de commission  banque et recouvrements conformes aux usages  stipulés entre les parties dans l'acte de crédit passé au profit de Larsonneur  mais qu'il s'est borné à nommer trois experts chargés de donner leur avis sur le point de savoir que  était le taux de la commission que Garnier pouvait réclamer de Larsonneur pour les sommes qui étaient réellement versées à ce dernier  euégardà l'état de la place de Saint Lô  depuis le 5  oct  1846  jusqu'au 31 oct  1848  en prenant en considération que la commission ne peut être que l'indemnité due au banquier pour ses soins et démarches et pour les risques qu'il court     Qu'une telle décision ne saurait avoir violé l'art  1134  Cod  Nap   ni faussement appliqué les dispositions de la loi du 3 sept 1807  Attendu que c'est avec raison que l'arrêt attaqué a jugé que la commission ne pouvait être  prélevée qu'une seule fois sur les décaissements d'argent opérés réellement     Qu'en le décidant ainsi  l'arrêt attaqué  loin d'avoir  violé l'art  1134  Cod  Nap   et faussement appliqué les dispositions de la loi du 3 sept  1807  en a fait une juste application   Rejette  etc     ; 5 déc 1854. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f16.image;185509
1855010;18;LA COUR    Sur le premier moyen  pris de la violation des art  1102 1103  1168  1171 et 1176  Cod  Nap     Attendu que  si la pour impériale de Bordeaux s'est réfusée a voir dans le traité du 14 juill  1845 un contrat unilatéral  contenant  de la part de Desoye  une obligation qui serait devenue caduque par l'inaccomplissement d'une condition a remplir par Beauvieux  et si elle y a vu  au contraire  un contrat synallagmalique dont l'exécution ne pouvait être contestée par Desoye  parce qu'il l'avait lui même provoquée  au lieu de demander la résolution du contrat  faute par Beauvieux de l'avoir exécuté dans le délai fixé  il n'y à eu là qu'une appréciation de conventions et de faits qui étaient dans la domaine de la Cour impériale et qui échappe a la censure de la Cour   Sur le deuxième moyen  pris de la violation des art  1142  Cod  Nap       Attendu que si Desoye  en demeure de remplir l'obligation qu'il avait contractée  en se portant fort pour sa femme  de rapporter la ratification de celle ci et la mainlevée de son inscription  a été condamné  à payer 5 fr  de dommages intérêts pour chaque jour de retard  celle condamnation rentrait dans l'exercice du pouvoir qui appartient aux tribunaux de prononcer des dommages intérêts à raison du simple retard dans l'exéculion des obligations   Qu'il s'agissait  dans l'espèce  de dommages intérêts à raison du simple retard apporté par Desoye à l'exér cution de son obligation  et non à raison de l'inexécution de cette obligation par suite du refus de la femme  Desoye  qui n'a été allégué ni en première instance  ni en appel     Qu'en condamnant  dans cet état des faits  Desoye à rapporter les dites ratification et mainlevée dans un délai de trois mois  soit à 5 fr   de dommages intérêts par chaque jour de retard  l'arrêt attaqué n'a violé aucune loi ' Rejette  etc   ; 26 juill. 1854.;Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f18.image;1855010
1855011;19;LA COUR     Attendu que  suivant les art  1583 et 1614  Cod  Nap   là'venié est parfaite entre les parties et la propriété acquise a l'acquéreur dès la convention intervenue sur là chose et sur le prix  et que  dès lors aussi  tous les fruits appartiennent à l'acquéreur   que  par conséquent  les tiers qui  en execution ou en conformité de ce contrat  ont versé les produits de la chose vendue dans les mains de l'acquéreur ou lui ont laissé la faculté de les percevoir lui même  ne peuvent être recherchés plus tard par le vendeur qui  usant du droit de résolution  tait annuler la vente   que l'effet rétroactif de l'action résolutoire se restreint aux contractants ou à leurs ayant cause  et ne saurait avoir pour résultat de faire considérer comme non avenus les perceptions de fruits ou recouvrements de produits opérés par l'acquéreur  et de faire revivre vis à vis du vendeur  l'obligation des tiers ' débiteurs de ces fruits ou produits  dont ils s'étaient valablement libérés  dans les mains de l'acquéreur en vertu du contrat dont la  résolution à été ensuite prononcée  que le vendeur a donc  par l'effet de la résolution  le droit de répéter contre l'acquéreur seul les fruits que l'acguéreur seul a perçus   Attendu que de Macarty  ayant droit tout à la fois des concessionnaires du périmètre de la Tardiverie comme cessionnaire du bail de leur amodiataire  et de Beaugelin  l'un des propriétaires de la surface  comme acquéreur dès part et portion de celui ci dans les tréfonds du même périmètre  à recueilli les produits de son exploitation à ce double litre   que  dans la période comprise entre le 15 avril 1844  date de son contrat d'àcquisition  jusqu'au jugement du 25 juin 1851   qui en a prononcé la résolution  il à exercé les droits de son vendeur dans là mesure de ce qui lui avait été transmis par ce dernier   qu'il a recueilli les fruits de ce genre de propriété  c'est à dire cette partie des produits dp l'exploitation qui se mobilisant au fur et à mesure de leur perception  reviennent au propriétaire de la surface et manifestent la persistance de son droit sur le tréfonds   que seul  par conséquent  il est tenu de la restitution des fruits ou redevances ainsi perçus par lui    D'où il suit qu'en décidant que  par la réunion en la personne de de Macarty des droits  soit des concessionnaires de la Tardiverie où de leur amodiataire  soit de Beaugelin  l'un des propriétaires de la surface  il y à eu  au fur et à mesure des extractions  extinction du droit de réclamer ultérieurement contre lès concessionnaires eux mêmes ou leur amodiataire  la part de produits reyonant à Beaugelin  et que l'acquéreur   qui seul a recueilli ces produits  est seul ténu d'en rendre compte à son vendeur par suite de la résolution de leur contrat  la Cour impériale de Lyon  loin de violer les art  1165  1183 et 1184  Cod  Nap   en a fait une juste application  Rejette  etc   ; 18 juill. 1854.;Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f19.image;1855011
1855012;20;     Sur le premier moyen    Attendu qu'il est constaté en fail  par la Cour impériale de Douai  que le partage intervenu en 1816  entre les enfants Fourdinier  de la sut cession de leur père commun  constituait un contrat commutalif et ne  renfermait aucune libéralité qui aurait été faite au profil du dé  41 Jurisvrudence de la Cour de cassation  42  fendeur éventuel par ses frères et soeurs     Que c'est donc avec raison que l'arrêt attaqué a refusé de déclarer révoquée  pour cause de survenance d'enfants  la prétendue donation qui serait résultée de ce partage  et qu'en jugeant ainsi  loin d'avoir violé les art  960 et 966  Cod  Nap   il en a fait une juste application    Sur le second moyen     Attendu que l'arrêt attaqué a rejeté l'action en rapport exercée par le demandeur en cassation  relativement à la succession de la demoiselle Fourdinier  pour le prétendu avantage que ladite demoiselle Fourdinier aurait fait  en 1816  à son frère aîné  et pour les objets qui auraient été omis en 1832 dans le partage de la succession de ladite demoiselle  laquelle omission aurait constitué un avantage indirect au profit du défendeur éventuel     Que  pour le décider ainsi  l'arrêt attaqué s'est fondé sur ce que la demande en supplément de partage ne serait recevable qu'autant qu'elle aurait pour objet des choses certaines et déterminées   que le demandeur justifierait avoir' été omises dans ladite liquidation   qu'il ne fournit pas celte preuve    Attendu que ces motifs sont juridiques et répondent suffisamment aux chefs de conclusions    Rejette  etc  ; 21 mars 1854.; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5787408r/f20.image;1855012
