,page,arrêt,date,juridiction
0,2," Considérant I"" que le terrage n'est point essentiellement un droit feodal de sa nature; qu'il est ou féodal, ou purement foncier, suivant les conventions et le» actes qui l'établissent ou le modifient ;– Considérant 2» qu'il est établi au procès que le terrage dont s'agit fut detache du fief par reflet d'une vente avec réserve de la directe: clause en exécution de laquelle il ne fut transmis à l'acquéreur qu'une redevance purement foncièie; d'où il suit que l'arrêt dénoncé, en supprimant comme feodal ce même di oit de terrage, quoique devenu purement foncier longtemps avant la législation qui supprime les droits feodaux, a fait évidemment une fausse application des lois sur cette matière, ainsi que des décrets interprétatifs –Sans s'arrêter a l'opposition, – Casse, etc. ", 2 janv. 1809. , Sect. civ
1,3,"-Vu les art. 1258, § 3, et 1909 du Code civil; – Attendu, en droit, ,'l°quel aliénation du capital est de l'essence du contrat de constitution; que tel etalt le vœu des lois en vigueur, a l'époque du 6 déc. 1774, date de 1 acte dont il s'agit; que telle est encore la disposition de l'art. 1909 du Code civil 2° que les offies réelles n'opèrent la libération qu'autant qu'elles désintéressent réellement le créancier; – Attendu en fait 1° qu'il a été reconnu, tant par le tribunal de première instance,que par la Cour d'appel, que l'acte du 6 déc. 1774 était un contrat de constitution qu'il a même été ainsi exécuté par les parties; 2° que les olfies de remboutsement effectuées en assignats le 28 prair. an 3, et réitérées en mandats le 19 prair. an 4, n'ont point été acceptées par le cieancier que (1; Un avis du conseil d'Etat, du 21 sept. 1810, porte «que pour le droit principal du à cause de mutation par deces, l'action accordée par l'art. 32 de la loi du 22 frim. an 7, ne peut être exercée au préjudice des<ter5acjuereurj.»CeUedecisionestniauife»tement contraire au principe adopté par la Cour de cassation, soit dans l'arrêt ci-dessus, soit dans ceux des 15 et 29 avril 1807, et 9 mars 1808; en sorte que le système de la jurisprudence se trouve rejeté, en tant qu'il admettait, «que l'art. 32 avait introduit, sans exception ni distinction, un droit de suite sur les revenus de l'immeuble héréditaire, en quelques mains qu'il ait passé.» – Maisl'effet del'avisdu conseil d'Etat précité, s'étend-il jusqu'aux tiers détenteurs à titre précaire? MM. Cliampionniere et Rigaud, ontsoutenuraffirmative dans te Contrôleur de l'enregistrement, art 234 9, et dans leur Traité des droits d'enregistrement L 4. n. 3884.-La raison de douter se tire de ce queles fermiers ou antichrésistes ne sont pas précisément des tiers acquéreurs; 
lui-même en a fait prononcer la nullité, par jugement du 25 vent. an 5; – Attendu enfin que la démonétisation des assignats et mandats décretée avant la demande dirigée le 29 prair. an 7, a rendu illusoires et sans aucun effet, les offres, puisqu'elles avaient été effectuées dans une monnaie qui avait cessé d'avoir cours – D'où il suit que la Cour d'appel de Lyon, en condamnant le demandeur à rembourse! le capital dout il s'agit, par le motif qu'il avait offert ce remboursement, a violé les art. 1258 et 1909 du Code civ –Casse, etc. 
", 3 janv. 1809., Sect. eiv. 
2,4," Vu l'art. 85 de la Constitution de l'an 8 – Considérant que le prévenu marchait à la suite de son corps, sou» la même feuille de route et avec la même étape; que s'il s'en est écarté momentanément, ce n'est ni comme l'aj ant abandonné, ni comme étant en congé; que, dès lors, il ne pouvait être considéré que comme faisant partie de l'armee, et justiciable d'un conseil militaire qu'ainsi, en retenant la connaissance du délit dont il s'agit, et que répriment aussi les Surenchère, n° 3, p. 334, Favard, y° Surenchère, p. 431 Bernât, p. 635; Carré, Proc. ci»., tom. 3, n° 2828 Pigeau, t. 2, p. 334 Troplong, llypolh., t. 4, n° 940, et Persil, Régime hypoth., art. 2185, n» 18. 
", 5 janv. 1809., Sect. cnm.
5,6,"– Vu l'art. 456du Cod. du bium. an 4 – Et attendu qu'une action réputéecnme a l'instant qu'elle a été commise, peid son caractere de cuminalilé par l'effet de l'amnistie; et que dès lors, celui qui s'en est rendu coupable et ceux qui y ont coopéré ne peuvent, à raison d'un pareil fait, être poursums ni mis en jugement;-Attendu que, dans l'espèce les faux reprochés a Buantou avaient eu pour objet de favoriser la désertion a l'intérieur de conscrits réfractaires, et que tous avaient été commis à une époque antérieure au 1er floréal an 10 Attendu qu'a cette époque les conscrits refractaires étaient mis par la loi, sur la même ligne que les véritables déserteurs, ce qui ne fut changé que par la loi du 6 flor. an 11 que con- (I) V. conf., Cass. 28 brum. an 9, et la note 10 oct. 1822. Ce n'est là qu'une application de cette règle générale qu'il n'y a point de complices sans un faitprincipal a l'exécution duquel ils se rattachent. Or, lUnsl'espèce.ramimtie effaçant le crime de di serBon, ne pouvait laisser de complices de ce crime. (Théorie du Code pén. 2, p. 117. î – V.aiusi Merlin, Quest. d4droit,i°Âmnislic– en serait autremenlsi,a côté du fait amnistie se présentait un crime distinct, et 
séquemment la loi d'amnistie du 24 floréal an 10, pour la désertion à l'intérieur, était applicableaussi bien aux conscrits réfractaires, qu'aux autres déserteurs que tout dépend donc de l'examen du point de savoir, si l'amnistie prononcée pour le crime de désertion a l'intéiieur remontant a une époque anténeure au 1er floréal an 10, a porté sur les délits accessoires à la desertion comme sur la désertion elle-même, et nommément sur les faux pratiquas par i i <-̃* ticis s pour la favoriser ;-Que si la loi du 24 flor. an 10 pouvait présenter a cet égard de l'équivoque, n'ayant parlé en termes positif. que de la desertion l'on ne peut néanmoins supposer qu'en déclarant amnistie le délit principal, il ait été dans l'esprit des législateurs de faire poursuivie l' les délits qui lui sont nécessairement accessoires, et les complices d'un fait que la loi ne regaide plus comme un véritable délit; que cette entente naturelle de la loi se tiouve consignee d'une manière a lever tous ces doutes, dans un avis du conseil d'Etat du 26 prair. an 10, et lacirculaire du ministre de la guerre du 17 ihcim. suivant, puisque I un et l'aulie n'exceptent de la faveur de l .i i m 1 1 s 1 1 que le cas d'homicide; et qu'ils la font porter nommément sur les faux qui pourraient avoir ete commis pour lavoriser la désertton – Attendu que le crime en lui-même ayant été amnistié, et ne restant conséquemment plus de crime aux yeux de la loi, Il ne peut plus y avoir de complices de ce crime à poursuivre et à punir; qu'autrement il faudrait supposer une resti iction dans la loi qui ne s'y trouve pas et qui n'a pu même être dans la pensée du législateur car, ayant voulu que la désertion a l'intérieur, jusqu'à l'épdque du 1"" floréal an 10, ne fut plus considéiée comme une action criminelle, Il n'a pu vouloir en même temps que les moyens emplojés pour la favoriser pussent être considères comme criminels et donner heu a des poursuites et a des condamnations pénales – Qu'il suit de la, que n') ayant autre chose a reprocher à Buanton que des faux commis à une époque onteneureau 1er floréal an 10, il ne pouvait être jugé que comme complice de ces désertions qu'il aurait favorisées par le moyen des faux qu'il attrait commis, et que dès lors il ne pouvait t'être légalement, puisque le délit principal de désertion est amnistié – Que la Cour de justice criminelle spéciale du departement de l'Ain en se déclarant compétente par son arrêt du 14 septembre 1808, pour înstrune et pour juger la prévention de f.iux qui pesait contre Buanton a donc commis une usurpation de pouvoir qui en nécessite l'annulation; – Casse, etc. ", 6 janvier 1809. , Scct. cnm.
6,6,"LA COUR;-Vu l'art. 5, etc.Et attendu que d'après ce même art. les nullités des exploits devant être proposées seulement dans les défenses, Il n'est pas nécessaire qu'elles le soient dans l'acte de présentation d'ou Il suit que la simple présentation ne couvre pas par elle-même ces nullités et qu'ainsi l'an et attaqué en décidant le contraire a violé 1 art. 5 du ttt. 5 de l'ordonn. de 1667; – Casse etc. ", 9 janv. 1809. , Sect civ. 
7,6," Attendu que de la disposition des lois des 5 nov. 1790, 27 mars 1791 et Ufum. an 3 tt résulte que relativement aux actions exercées pour ou contre intérêt national, la république, représenteed'abord par les procureurs généraux syndtcs des administrations départementdles, le fut ensuite par les présidens des mêmes administrations; mais que, dans aucun temps, les «gens nationaux de district n'ont reçu de Ij loi ce caractère; que par conséquent, l'agent national du district de 'Irojes n'ayant pu rcpresenter valablement la république, lors du jugement arbitral dont il s'agit, toute la procedure faite avec cet agent, ainsi que le jugement qui eu a été le résultat, sont nécessairement nuls, commu faits en contravention aux loisprécitecs;– Donn défaut, contre la commune de Payeur, non com• *l soitdéfendeur.»– Aujourd'hui cette formalité n'es plus requise, elle est remplacée par la constitution d'avoué, et il est hors de doute que ce dermer acte ne couvre pas les nullités de l'acte d'appel. – 11 suffit, conformément à l'art. 173 du Code deproc.. qu'elles soient proposées avant toute defense ou exceptiou, autre que les exceptions d'incompetenco. (3) V. en ce sens, Caas. 19 prair. an 11: 9 mar 1825. 
parante; et pour le profit, casse et annulle le jugement arbitral rendu le 22 prair. an 2, entre la commune de Payeur et l'agent national du district de Troyes, etc. 
", 9 janv. 1809., Sect. civ.
9,7,"-Vu l'art. 40 de la loi duSîfrim. an 7;-Attendu qué la nullité prononcée par cet article est générale, et sans exception ni réserve d'un effet quelconque dans l'intérêt privé desparties, et qu'il n'est pas permis aux juges de distinguer la ou la loi ne distingue pas -Que la loi a voulu empêcher les vendeurs de dissimuler, dans les actes publics, le véritable prix des ventes, en les privant de toute action en paiement de la partie du prix qui n'est pas portée dans le contrat Que ce serait contrarier l'esprit et la lettre de cette loi, que de supposer qu'après que la contre- la compétence des juges de paix, tom. 1er, n°* 35 et suiv. 
", 10 janv. 1809, Sect. civ.
11,8,"– Vulart.456 du Code du 3brum. an 4 Et attendu qu'en droit Il y a prescnption acquise de tout délit par le laps de six années, lorsque, dans l'intervalle, il n'est intervenu contre le prévenu aucun jugement par contumace, etque les six années commencent a couiir a compter du jour que le délit a été connu et légalement constaté; – Attendu, en fait, qu'il s'est écoulé plus de six années, dans l'espece, à compter du 6 fruct. an Cet du 4 vend, an 7, epoque de la connaissance acquise du faux reproche a Guidaccioli, et de sa constatation legale, jusqu au 29 oct. 1808, celle de l'arrétatiaque, sans que, dans l'intervalle, il ait été rendu an et de contumace contre le prévenu; – Attendu que la connaissance officielle du délit résultait soit de la dénonciation qui en avait été faite par-devant le tribunal ciul, en arguant de faux l'acte notarié de 1794, soit du jugement qui, sur cette déclaration, ordonne l'appoit de la pièce au grelTe pour l'instruction du faux incident, soit du proces-rerbal du dépôt de cette pièce et du paraphe nevanelur du président, soit enfinde la plamte en faux principal, présentée par la veu\e Pozzodi-Borgo le 4 ^endem an 7; -Attendu qu'il y avait également, des le 6 fruct. an 6, constatation legale du faux dont Guidaccioli était prévenu puisque la seule manière de constater légalement une prévention de faux est de dresser proces-verbal du dépôt de la pièce arguée qui se fait au grelTe, en vertu du jugement et le paraphe ne vanetur de cette pièce, et que le faux reproche a G uldaccioh avait été constaté de cette mamèie; – Attendu que cette constatation était aussi légale, quoique faite par un tribunal civil sur le faux incident dont Il se trouvait saisi, que si elle l'avait été par un tribunal criminel puisque le tribunal civil, en pareil cas, est autorisé a instruire et juger le faux incident, et que la légalité de la constatation dépend uniquement du caractère de t'officier public qui a fait cette constatation Attendu que la plainte portée le i vendém. an 7, en faux principal par-devant le duecteur du jury, par le fondé de pouvoir de la veuve Pozzo-di-Borgo, fût-elle irrégulière, et en conséquence, écarteedu procès, Il n'en restait pas moins constant, d'après les autres circonstances du proces, que la connaissance du délit imputé a Guidatcioli était acquise des cette époque; mais qu'il n'est pas exact de dire qu'une plainte, pour passibles pour malversation, concussion ou abus de pouvoir. Or, deux dispositions différentes du Code pénal pumssent les malversations des officiers de police l'art. 198 porte qu'ils subiront le maximum de la peine attachee au délit dont ils auront favorisé la perpétration, lorsqu'ils etalent charges de le surveiller, et l'art. 462 augmente la peine d'un tiers, lorsqu'ils ont commis eux-mêmes le deht. Ces deux articles doivent-ils s'appliquer au garde qui commet un délit foresUer? On est dispose à le croire, à la première vue, parce que la perpétration de ce délit est un acte de malversation; parce que le Code forestier renvoie au Code pénal pour les actes de cette nature; parce qu'enfin, le délit, devenant plus grave, quand il est commis par un garde lui-même, appelle une répression plus forte. Mais Il faut remarquer, en premier lieu, que l'art 462 est inapplicable à cette espèce, puisque ses termes le restreignent 
n'être pas signée à toutes les pages, et pour avoir été présentée par un procureur fondé qui n'y a pas annexé sa procuiation, doive être considérée comme non a\enue; ce principe certam est en effet consigné dans l'art 10 du Code de brum. an 4 de tout quoi il résulte qu'il y avait bien reellement prescription acquise du crime de faux impute a Guidaccioh, lorsque fut rendu l'arrêt du 29 ort dermer, qui l'a condamné a huit années de fers, comme convaincu de s'en être rendu coupable;– Qu'il y a d'autant plus usurpation de pouvoir de la part de la Cour de justice criminelle et spéciale du département de Liamone, en retenant la connaissance de ce délit prescrit qu'elle aurait dù le declarer tel d'office, la fin de non-recevoir tirée de la prescription étant absolue; mais surtout en refusant de le dcclarermnsi,surlesiéquisitions formellesdu ministère public – Par ces motifs, – Casse, etc. ", 12jan\ier 1809.,Sect. crim.
12,9,"– Attendu, en fait, que, de l'aveu même des demandeurs eu cassation, lapieslalion dont s'agit est qualifiée dime;– Et attendu, en droit, que toute dune, si elle u est foncière de sa nature, est supprimée par la législation actuelle; d'où Il suit que c'est a celui qui reclame une prestation qualifiée dîme, a prouver qu'elle est 'oncière;– Rejette, etc. ", 17janv. 1809., Sect. req.
16,12,"LA COUR ;– Vu l'art. 450 du Code du 3 brum. an 4;-Ft attendu que la signature apposée au pied de l'acte qui fait le sujet de la prévention, n'est pas déniée, qu'elle n'est point arguée de faux; que la prévention ne porte que sur une substitution contre l'intention de Fouqueré, d'une vente qu'il ne prétendait pas faire, a une procuration qu'il voulait donner, sur une signature par lui livrée en blanc seing, sans nécessité et volontairement; – Attendu que cette substitution, en la supposant réelle, n'ayant pas eu lieu dans un acte authentique, ni par le fait d'un officier public, charge par la loi de recevoir et de constater les conventions particulières, mais par des individus sans caractère pubhc, sur un blanc semg librement et imprudemment donné par l'effet d'une confiance indisciete, cette substitution, qui n'a pas le caractère maténel du faux, ne saurait non plus en avoir le caractère moral;-Que les crimes qui attentent a la piopriéle se composent en ellet, non-seulement du préjudice qu'ils causent et de l'intention qui les produit, mais encore de la difficulté de s'en garantir; qu'ainsi, dans la combinaison du Code pénal et des lois correctionnelles, les vols prennent le caractère de cnme ou ne constituent que de simples déhts correctionnels, suivant qu'il a été plus ou moins difficile de les prévenir ou de s'en mettre à l'abri;– Que les lois conservatrices de l'ordre social ont voulu arrêter ou réprimer, par l'effroi de la peine, les atteintes portées a la propriété, avec violence ou par l'abus d'une confiance nécessaire; mais que leur protection se restreint lorsque ces atteintes ont pu être inspirées et déterminées par une imprudence grave ou une confiance aveugle; – Que celui qui, volontairement, donne un blanc seing dont on abuse pour le remplir d'une manière contraire a ses intentions, est dans le même cas que celui qui signe indisci élément, et sans le lire, un acte prive qu'il n'a point écrit ;– Que, dans un cas comme dans l'autre, l'imprudent qui a provoqué ou du moins fait réussir une supposition d'acte, que Id prévoyance la plus ordinaire aurait prévenue, ôte à cette supposition d'acte le caractère moral qui constitue le faux prévu par les art. 41 et 42, sect. 2% titre 2 du Code pénal; d'où il résulte que la Cour de justice criminelle et spéciale du département de la Sarthe, en se déclarant compétente par l'arrêt qu'elle a rendu le 29 sept. dernier, sur le vu de la procédure instruite contre Charles Lefrançois, Jacques Lefiançois son fils Pierre Jean Lefrançois, dit ","pont, et Pierre",René
