,page,arrêt,date,juridiction
0,4," — Considérant que les lettres patentes de 1778 accordaient à l'avocat autant de droits de plaidoirie , qu'il y avait eu dans la même affaire d'audiences dans lesquelles il avait plaidé ; — Qu'à la vérité le tarif de 1807 ne s'explique point à cet égard , mais que dans son silence ou peut raisonner par analogie avec les cas qu'il a exprimés ; que dans son art. 80 il alloue aux avoués un droit pour assistance à chaque plaidoirie et à chaque jour de plaidoirie qui précède les jugemens interlocutoires et définitifs contradictoires, quand les causes sont plaidées par les parties elles-mêmes ou par des avocats , et un droit de plaidoirie quand les avoués plaident eux-mêmes; qu'ainsi les avoués pourraient, dans certains cas, obtenir autant et plus d'honoraires que les avocats dans la même affaire: — Que le droit fixé pour la plaidoirie des avocats est le prix de leur temps et de leur travail ; que si la plaidoirie se continue pendant plusieurs jours, il y a nécessairement plus de temps et d'efforts, et que c'est ainsi que le tarif a été interprété à leur égard depuis sa publication par les Cours et tribunaux du royaume; — Reçoit l'opposition à la taxe du 17 du courant, en ce qu'il a été retranché un second droit de plaidoirie ; dit en conséquence que les deux plaidoiries sont dues , et que celle qui a été rejetée sera rétablie dans l'orduinance de taxe, etc. 
", 24 août 1829. , C. r. Bourges. 
1,4," — Considérant que les frais de port de pièces et de correspondance, ne sont pas des honoraires, mais seulement le rembourscment de déboursés ; qu'en vain on voudrait réduire l'avoué à compter en détail les ports des lettres ou paquets qu'il reçoit, les voyages qu'il peut faire; que la loi n'a pas voulu engager les magistrats dans des examens et des débats avec les avoués ; qu'elle a d'ailleurs considéré qu'il serait souvent impraticable aux uns de justifier, aux autres de rectifier ; qu'elle a fait pour ces sortes de dépenses un forfait qui peut quelquefois dépasser les véritables déboursés, et quelquefois être au-dessous ; mais que ces mots : frais et port de pièces , écrits dans l'art. 145 ,, attestent aussi qu'elle n'y a pas vu des honoraires, mais de simples déboursés ; qu'ainsi le droit est dû , conformément aux art. 145 et 147 du tarif; — Rejette l'opposition à la taxe formée par le préfet du Cher, agissant dans l'intérêt de l'Etat, etc. ", 24 août 1829. , C. r. Bourges. 
2,5," — Par les motifs exprimés dans le jugement du tribunal de 1re. instance de Florac, dont il a été appelé , et les adoptant ; — A mis et met l'appellation au néant ; ordonne que ce jugement sortira son plein et entier effet, etc. ", 7Juillet 182g. , C. r. Nîmes. 
3,6,"—Attendu que, suivant l'art. 1690 , Cod. civ., le cessionnaire n'est saisi, à l'égard des tiers, que par la signification du transport ou par l'acceptation que le débiteur en a faite dans un acte authentique; que lors de la faillite de Cornillo, leur cédant, Sazerac et Cie. n'avaient pas fait signifier leur cession; que l'acceptation du transport par le débiteur de l'une des trois créances cédées n'a pas été faite par un acte authentique, mais dans un acte sous signatures privées, daté du jour même de la déclaration de faillite , cl qui no fut enregistre que le lendemain ; qu'ainsi Sazerac et Cie. n'étant pas saisis légalement, à l'égard des créanciers de Cornille, les syndics de la faillite avaient le droit de revendiquer dans l'intérêt de la masse les créances cédées :—Met l'appel au néant, etc. ", 18 août 1829. , C. r. Bordeaux. 
4,6," — Attendu que les enfans Stollenwerek ne peuvent Lois et Décisions diverses. 
prétendre que l'instance formée en 1812 a été irrégulièrement introduite , faute de préliminaire de conciliation ; que ce préliminaire n'était pas exigé par la loi, puisque la dame Gosselin-Savy a assigné à la fois trois personnes , savoir : les deux demoiselles Gosselin et le sieur Caëlle , notaire ; que vainement on a soutenu que ce der nier était sans intérêt dans la cause ; que la dame Gosselin-Savy était fondée à penser qu'il était utile de l'y appeler: qu'au surplus c'est le nombre des parties assignées que l'on doit prendre en considération, et non le plus ou le moins d'intérêt de chacune d'elles, selon la jurisprudence de la Cour de cassation fixée par son arrêt du 20 février 1810 (1) ; 
Attendu que la dame Gosselin et les enfans Stollenwerck étaient solidairement obligés envers la dame Gosselin-Savy : que d'après les principes de la solidarité, cette darne a pu valablement appeler, pour l'exécution des obligations communes, deux des parties obligées ; que c'est pour remédier à ce défaut d'assignation que la loi a ouvert aux parties non appelées la voie de l'intervention ; que cette doctrine sur la solidarité est professée par tous les auteurs et établie par la Cour de cassation dans plusieurs de ses arrêts ; 
Attendu , au fond , que, d' après notre ancienne jurisprudence , lors même que le pacte commissoire était écrit dans les contrats, il n'opérait pas de plein droit leur résolution , mais donnait au vendeur une action pour la demander ; qu'en fait, le pacte commissoire n'est écrit ni sous-entendu dans le contrat du 5 brumaire an 4 , et que de ses termes mêmes il résulte que le vendeur avait renoncé à pouvoir exercer cette action dans le cas même de l'inexécution des conventions : qu'au surplus, faisant à la cause L'application des principes de notre législation actuelle, conformément à ce qu'a décidé la Cour de cassation, notamment dans son arrêt du 16 juin 1818 (2), et invoquant les dispositions de l'art. 1978, Cod. civ., parfaitement applicables à la cause, puisque le contrat du 5 brumaire an 4 , quoiqu'on lui ait donné le titre do vente, n'est cependant qu'un contrat à rente viagère ; que les termes de l'article cité ne permettent pas au constituant do rentrer dans le fonds par lui aliéné , lorsqu'il y a eu défaut de paiement des arrérages de la rente, mais lui donnent seulement le droit de faire saisir et do faire vendre les biens de son débiteur ;—Faisant droit de l'appel interjeté par les héritiers Gosselin du jugement du 2 juillet 1814, déclare les héritiers Lapeyre non recevables dans leur demande en résolution du contrat de vente à rente viagère, en date du 5 brum. au 4, etc. 
", 19 août 1829. ,C. r. Bordeaux.
6,8," — Attendu que la veuve Clausse agit, d'une part, comme copropriétaire de la créance , et encore comme mandataire des héritiers de sou mari ; que les héritiers majeurs pouvaient, sans difficulté, céder leurs droits à la veuve Clausse : que les mineurs sont représentés par leurs tuteurs, qui avaient qualité pour recevoir les capitaux, et qui ont pu transférer ce pouvoir à l'intimée; qu'il est inutile de rechercher quels sont les effets d'un partage provisionnel ; que la seule chose à examiner est celle-ci, le paiement fait par la dame Courtalon à la veuve Clausse libèrera-t-il valablement rappelante? — Que la réponse à cette question doit être affirmative, puisqu'aucun des cohéritiers ne serait recevable à revenir contre le mandat qu'ils ont donné à la veuve Clausse ; d'où suit que celle-ci a qualité pour exiger Les 3,000 fr., et fournir bonne et valable quittance ; — Met l'appel au néant, etc. ", 28 juillet 1829.,C. r. Bordeaux. 
8,9," — Attendu que , suivant l'art. 1153, Cod. civ., dans les obligations qui se bornent au paiement d'une certaine somme , les dommages et intérêts résultant du retard dans l'exécution ne consistent jamais que dans les condamnations aux intérêts fixés par la loi ; qu'à la vérité , l'article ajoute, sauf les régies particulières au commerce; mais que parla le législateur n'a eu en vue que ce qui est relatif aux protêts et au rechange , ce qui ne se rencontre pas dans l'espèce actuelle ; — Attendu qu'en cet état de choses les premiers juges n'auraient pas dû accorder une somme de 300 fr. pour tenir lieu de dommages et intérêts ; qu'ils ne pouvaient accorder que les intérêts du jour de la demande ; qu'il convient toutefois, à cause de toutes les tergiversations de l'appelant, de le condamner à tous les dépens ;—A mis et met l'appellation et ce dont est appel au néant; émendant, etc. ", 21 août 1829.,C. r. Aix. 
9,9,"—-Attendu que la loi du 5 février 1817, en autorisant les électeurs à transférer leur domicile politique , a dérogé au droit commun , cl créé en leur faveur une faculté nouvelle ; — Que la loi du 29 juin 1820, bien loin d'annuler celte disposition , a formellement déclaré que toutes celles qui ne sont point abrogées par elle continueront d'être exécutées, et seront communes aux collèges électoraux de déparlement et d'arrondissement; Attendu que les magistrats appliquent la loi et ne la font pas ; que rien ne peut directement ni indirectement, autoriser à croire que le législateur de 1820 ait eu le projet de restreindre la liberté accordée aux électeurs par le législateur do 1817; — Que l'esprit de notre législation et de la jurisprudence est de favoriser l'exercice du droit électoral et de permettre en celle matière tout ce qui n'est pas défendu par la loi ; 
Attendu que les défendeurs paient des contributions directes dans les communes où ils veulent transporter leur domicile; qu'ils ont fait les déclarations prescrites en temps utile, et qu'ils les ont adressées à la seule autorité qui pût les recevoir; — Sans s'arrêter à l'opposition faite par les parties de Creton, ordonne que la décision prise en conseil de préfecture, par le préfet de la Somme , du 7 octobre 1829 , sera exécutée suivant sa forme et teneur, etc. 
", 20 novembre 1829. , C. r. Amiens 
11,10," —Attendu que les lois relatives à l'organisation et au service de l'administration générale des postes, et notamment celle du 5 nivôse an 5 , qui détermine les cas et le mode de responsabilité de celte administration, pour les lettres et autres objets dont elle est chargée d'effectuer le transport, ont dérogé au droit commun, en ce qui la concerne : que les art. 14 et 16 de cette dernière loi ont restreint cette responsabilité pour les lettres et ce qu'elles pourraient renfermer, au seul cas où ces lettres auraient été chargées; qu'ils ont même réglé la quotité de l'indemnité que l'administration serait tenue de payer, lorsqu'une lettre chargée viendrait à se perdre, quelles que fussent d'ailleurs les valeurs qu'elle renfermerait; Attendu que la lettre adressée par Vergo , de Stuttgard , à Barthélémy Bouque, à Avignon, renfermant une lettre de change de 1,850 fr., et soustraite frauduleusement à son arrivée dans le bureau de la poste aux lettres de Strasbourg , par Vaindess, l'un des employés de l'administration générale dans ledit bureau, n'avait point été chargée ; — Par ces motifs , a mis et met l'appellation au néant, etc. 
", 6 août 1829.,C. r. Colmar.
12,11," — Considérant que l'art. 1604 , Cod. civ., ne fait au-' cune distinction entre la vente des biens meubles et celle des ira.""! meubles pour l'action résolutoire; —Considérant qu'il résulte des faits et circonstances de la cause des présomptions graves , précises et concordantes, qu'à l'époque de la vente consentie par Guédon à Lebreton, ce dernier était dans un état d'insolvabilité complète, qui, plus tard, a fait déclarer sa faillite, laquelle a été reportée provisoirement au 1er. novembre 1828 , sept jours après ladite vente; — Met l'appellation et ce dont est appel au néant ; émendant, déclare la vente du fonds d'hôtel garni faite par Guédon à Lebreton résolue, etc. ", 18 août 1829. , C. r. Paris. 
