,page,arrêt,date,juridiction
0,13," — Considérant 1° que le terrage n'est point essentiellement un droit féodal de sa nature; qu'il est ou féodal, ou purement foncier, suivant les conventions et les actes qui l'établissent ou le modifient ;—Considérant 21 qu'il est établi au procès que le terrage dont il s'agit fut détaché du fief par l'effet d'une vente , avec réserve de la directe: clause en exécution de laquelle il ne fut transmis à l'acquéreur qu'une redevance purement foncière; d'où il suit que l'arrêt dénoncé, en supprimant comme féodal ce même droit de terrage, quoique devenu purement foncier longtemps avant la législation qui supprime les droits féodaux , a fait évidemment une fausse application des lois sur celle matière, ainsi que des décrets interprétatifs ; —Sans s'arrêter a l'opposition,—Casse, etc. ", 2 janv. 1809. , Sect. civ.
1,14," —Vu les art. 1258, § 3 , et 1909 du Code civil Attendu, en droit, 1° que l'aliénation du capital est de l'essence du contrat de constitution; que tel était le vœu des lois en vigueur, à l'époque du 6 déc. 1774, date de l'acte dont il s'agit; que telle est encore la disposition de l'art. 1909 du Code civil ; 2° que les offres réelles n'opèrent la libération qu'autant qu'elles désintéressent réellement le créancier; —Attendu, en fait, 1° qu'il a été reconnu, tant par le tribunal de première instance , que par la Cour d'appel, que l'acte du 6 déc. 1774 était un contrat de constitution , qu'il a même été ainsi exécuté par les parties ; 2° que les offres de remboursement effectuées en assignats le 28 prair. an 3, et réitérées en mandats le 19 prair. au 4, n'ont point été acceptées par le créancier ; que lui-même en a fait prononcer la nullité, par jugement du 25 vent. an 5 ; — Attendu enfin que la démonétisation des assignats et mandats décrétée avant la demande dirigée le 29 prair. an 7, a rendu illusoires et sans aucun effet, les offres, puisqu'elles avaient été effectuées dans une monnaie qui avait cessé d'avoir cours ;— D'où il suit que la Cour d'appel de Lyon, en condamnant le demandeur à rembourser le capital dont il s'agit, par le motif qu'il avait offert ce remboursement, a violé les art. 1258 et 1909 du Code civ.— Casse, etc. 
", 3 janv. 1809.,Sect. civ. 
2,14,"—Vu l'article 32 de la loi du 22 frimaire an 7; — Et attendu, en droit, que cet article ayant introduit, sans exception ni distinction, un droit de suite sur les revenus de l'immeuble héréditaire, en quelques mains qu'il ait passé, ce n'est pas l'héritier seulement qui est grevé de l'acquittement du droit de mutation, mais les biens de la succession, quel qu'en soit le détenteur; — Attendu en fait, que les fruits qui ont été saisis étaient à prendre sur un héritage de la succession de Jean-Baptiste Chaine; — D'où il résulte que le tribunal civil d'Uzès, en donnant, mainlevée de cette saisie, a violé l'art. 32 de la loi du 22 frim. an 7; — Casse, etc. 
", 3 janv. 1809. , Sect. civ. 
3,14,"—Vu l'art. 1er, tit. 3, de la loi du 20 aoùt 1792, et l'art. 2281 du Code civil;— Attendu qu'il a été reconnu dans le jugement du tribunal de Bonneville. et, par suite, dans l'arrêt de la Cour d'appel de Lyon, qui en a adopté les motifs, que, dans les Etats de Savoie, où lecontrat dont il s'agit a été passé, les arrérages de rentes constituées ne se prescrivaient que par trente ans; — Que l'ordonn. de juin 1510, qui établit en France la prescription de cinq ans pour les arrérages de rentes constituées à prix d'argent, n'a jamais été publiée dans les Etats de Savoie, depuis leur réunion à la France;—Que l'art. 1er, tit. 3, de la loi du 20 août 1792, sur lequel le tribunal de Bonneville et la Cour d'appel de Lyon se sont fondés pour décider que les arrérages de la rente dont il s'agit étaient prescrits, ne parle que des arrérages de cens, redevances et rentes foncières ci-devant perpétuelles , et ne dit rieu des renies constituées à prix d'argent;—Quejusqu'à la formation du Code unique des lois civiles, les lois particulières aux dilVérentes parties du royaume ont dû être observées; et que. d'après l'art. 2281 du Code civil, les prescriptions com- (t) Un avis du conseil d'Etat, du 21 sept. 1810, porte «que pour le droit principal du à cause de mutation par décès, l'action accordée par l'art. 32 de la loi du 22 frim. an 7, ne peut ètre exercée au préjudice des tiers acquéreurs, » Cette décision est manifestement contraire au principe adopté par la Cour de cassation, soit dans l'arrèt ci-dessus, soit dans ceux des 15 et 29 avril 1807, et 9 mars 1808; en sorte que le système de la jurisprudence se trouve rejeté, en tant qu'il admettait, « que l'art. 32 avait introduit, sans exception ni distinction, un droit de suite sur les revenus de l'immeuble héréditaire, en quelques mains qu'il ait passé. »—Mais l'effet de l'avis du conseil d'Etat précité, s'étend-il jusqu'aux tiers détenteurs à titre précaire? MM. Championniére et Rigaud, ont soutenu l'affirmative dans le Contrôleur de l'enregistrement, art 2349, et dans leur Traité des droits d'enregistrement t. 4. n. 3884.—La raison de douter se tire de ce quêtes fermiers ou antichrélistes ne sont pas précisément des tiers acquéreurs ; 
mais il faut remarquer que l'avis du conseil d'Etat n'est pi sfondé sur la qualité de tiers acquéreur, par opposition à celle de tiers détenteur à titre précaire; niais sur ce que « l'art. 32 ne concerne que les héritiers. donataires ou légataires,.... et n'a pour objet que d'expliquer les obligations qui résultaient pour chacune de ces mêmes personnes, savoir : pour les cohéritiers, la solidarité, et pour tous, même pour les donataires et légataires à titre particulier, l'affec- tation des revenus au paiement du droit. » D'où il suit, aux yeux du législateur, que celle affectation du revenu ne grève pasles tiers acquéreurs, uniquement parce qu'ils ne sont ni héritiers, ni légataires; or, le fermier ou l'antichrésiste ne le sont pas davantage, et par conséquent l'art. 32 ne les concerne pas non plus.—Un arrèt du 21 juin 1815. analysé par esteLebeau, v° Action, n. 3, a décidé «que l'art. 32 n'attribue à la régie une action sur les fruits existans entre d'autres mains que celles des héritiers, que pour les cas où ils peuvent ètre regardés comme ap- 
partenant à la succession qui donne ouverture au droit de mutation.» D'où la Cour conclut que la régie n'a pu exercer d action sur les revenus qui se trouvaient réservés par le vendeur de l'immeuble héréditaire. V. au reste, l'arrèt du 9 vend. an 14, et nos observations.** 
mencées à l'époque de la publication de cette loi, ont dù être réglées d'après les lois anciennes ; d'où il suit que l'arrêt attaqué a fait une fausse application de l'article ci-dessus rapporté de la loi du 20 aoùt 1792, pour établir une prescription qui n'était pas autorisée par les lois du pays où le contrat a été passé; — Donne défaut contre Etienne Joguet; et jugeant au profit d'icelui, —Casse etc. * 
", 3 janvier 1809.,Sect. civ.
4,15," — Attendu que l'art 832 du Code de proc. civ., n'ayant pour objet que de déterminer le mode d'exécution du droit de surenchère, établi par l'art 2185 du Code civil, il s'ensuit que c'est dans cet article seul du Code de procédure qu'il faut rechercher l'intention du législateur, et non dans c eux du même Code, qui ne sont relatifs qu'aux cautions à donner pour l'exécution desjugemens ;—Qu 'il y a évidemment cette différence remarquable entre cet article et celui du Code civil, que celui-ci s'était contenté d'ordonner que le surenchérisseur offrit de donner caution, lundis que celui du Code de procédure exige i offre même de la caution, ce qui suppose nécessairement qu'elle doit être désignée par l'acte de réquisition de surenchère;—Que cette interpré- tation parait d'autant plus conforme au sens de cet art.832, qu'après avoir exigé cette offre dans l'acte de surenchère, il est ajouté qu'il contiendra en même temps assignation a trois jours pour la réception de ladite caution, ce qui suppose non moins évidemment qu'elle doit être connue au moment même de cette assignation, et par conséquent encore désignée dans l'acte qui la contient; de tout quoi il résulte que l'arrêt attaqué, en déclarant nulle la réquisition d'enchère dont il s'agissait, faute d'y 3voir désigné la personne de la caution orferte par le surenchérisseur, n'a fait qu'une juste application de l'art. 832 du Code de proc., et n'a violé, en le décidant, aucune autre loi de la matière;—Rejette, etc. 
", 4 janv. 1809.,Sect. req.
5,15," —Vu l'art. 85 de la Constitution de l'an 8 ;—Considérant que le prévenu marchait à la suite de son corps, sous la même feuille de route et avec la même étape ; que s'il s'en est éc arté momentanément, ce n'est ni comme l'ayant abandonné, ni comme étant en congé; que, dès lors, il ne pouvait être considéré que comme faisant partie de l'armée, et justiciable d'un conseil militaire; qu'ainsi, en retenant la connaissance du délit dont il s'agit, et que répriment aussi les lois militaires, la Cour de justice criminelle du département de Loir-et-Cher a contrevenu aux régies de compétence et commis une usurpation de pouvoir; — Casse, etc. 
", 5 janv. 1809.,Sect. crim.
6,15," — Attendu que , ne s'agissant point dans l'espèce d'un délai fixé par la loi a un nombre de jours déterminé , à l'égard duquel il est vrai que la computation doit se faire de die ad diem, et non de hord ad horam, mais seulement d'un délai préfix de 24 heures, dans l'espace desquelles l'art. 7 du Lit. 4 de la loi du 29 septembre 1791 a voulu que les gardes forestiers affirment leurs procès-verbaux, la Cour de justice criminelle du département de la Haute-Saône s'est littéralement conformée à la loi, en déclarant nul un procès-verbal affirmé le lendemain de sa rédaction , mais après l'expira- (t) r. conf., Bruxelles, 22 déc. 1807; Paris, 2 avril 1808; Bordeaux, 8 juin 1814. et 30 août 1816; Agen, 17 août 1816. — A la vérité la nécessité de la désignation de la caution dans l'acte de réquisition de surenchère, ne résulte point des expressions mêmes de l'art.832 du Code de procéd. civile; mais on arrive à cette conséquence par induction de ses dernières dispositions. Cet article, en effet, impose au surenchérisseur l'ohligation d'assigner en même temps, à trois jours, pour la réception de la caution. Ur, on ne comprendrait pas que la loi eùt prescrit l'assignation à trois jours, à partir de la notification de la surenchère, si la présentation de la caution n'eût dù avoir lieu dans l'acte même de réquisition. Il était, d'ailleurs, indispensable de donner un délai sufisant pour que l'on pût prendre les informations nécessaires sur la solvabilité de la caution. V. dans ce sens, Merlin, Rép. , v° 
Surenchère, n° 3, p. 334, Favard, v° Surenchère, p. 431 ; Berriat, p. 635; Carré, Proc. civ., tom. 3, n° 2828 ; l'igeau, t. 2, p. 334 ; Troplong, Hypolh., t. 4, n° 940, et Persil, Régime hypoth., art. 2185, n° 18. 
tion de vingt-quatre heures, depuis sa date fixée, soit par la mention de l'heure que le garde forestier a indiquée dans le procès-verbal, soit par la mention de l'heure de l'affirmation faite par l'officier public qui a reçu cette affirmation; — Rejette, etj. 
", 5 janv. 1809. , Sect. crim. 
7,16," — Vu les lois du 11 brum. an 7, concernant les hypothèques et les expropriations forcées ; — Attendu qu'il résulte des dispositions de ces lois, que le législateur a déterminé et réglé d'une manière précise les formalités et les conditions à remplir par l'acquéreur qui veut purger et consolider l'immeuble par lui acquis, des charges et hypothèques qui pourraient le grever;—Attendu que Paul Roux s'y était conformé en faisant transcrire son acte, et en faisant, dans le délai requis, les notifications prescrites aux créanciers inscrits sur les vendeurs et les biens vendus, en conformité du contenu en l'état délivré par le conservateur; — Attendu que la loi n'avait pas soumis l'acquéreur à discuter le mérite des inscriptions, et que néanmoins l'arrêt préparatoire, en le soumettant à rapporter la preuve qu'elles frappaient réellement sur les vendeurs et les biens vendus, a ajouté à la lui ; qu'il a commis un excès de pouvoir; qu'il a substitué un nouveau mode pour purger les hypothèques, à celui établi par les lois de brum. an 7 et le Code civ.; Casse, etc. ", 5 janv. 1809. , Sect. civ. 
8,16,"—Attendu qu'en examinant le testament de Jean-Baptiste Biourge, du 12 vend.an 14, et en déclarant qu'il ne contenait aucune expression caractéristique d'une substitution , la Cour d'appel s'estrenfermée dans l'interprétation de l'acte, et n'a violé aucune loi;—Rejette, etc. ", 5 janv. 1809. , Sect. req. 
9,17,"—Vu l'art. 5, etc.;—Et attendu que d'après ce même art... les nullités des exploits devant être proposées seulement dans les défenses, il n'est pas nécessaire qu'elles le soient dans l'acte de présentation; d'où il suit que la simple présentation ne couvre pas par elle-même ces nullités; et qu'ainsi, l'arrêt attaqué , en décidant le contraire , a violé l'art. 5 du tit. 5 de l ordonn. de 1667;-Casse , etc. ", 9 janv. 1809.,Sect. civ. 
